ticket_id,account_id,created_at,priority,resolution_hours,csat_score
K003186,A02863,2025-01-14,high,17.5,4.1
K003187,A02864,2025-03-18,medium,20.5,3.7
K003188,A02867,2025-09-02,medium,4.2,3.8
K003189,A02867,2025-06-20,high,32.6,3.1
K003190,A02869,2025-10-07,low,17.0,3.2
K003191,A02870,2025-08-04,low,8.5,4.1
K003192,A02871,2025-01-27,medium,3.1,3.5
K003193,A02871,2025-07-01,medium,10.6,4.2
K003194,A02874,2024-09-23,low,8.0,4.3
K003195,A02874,2025-01-24,medium,9.5,3.7
K003196,A02874,2025-06-04,medium,30.3,3.1
K003197,A02876,2024-07-06,medium,11.9,3.9
K003198,A02876,2024-07-02,low,15.6,4.6
K003199,A02878,2025-01-27,medium,19.5,3.7
K003200,A02878,2025-03-30,low,9.6,4.2
K003201,A02878,2025-02-03,low,30.5,3.9
K003202,A02878,2025-02-21,low,17.1,3.8
K003203,A02879,2025-01-01,high,20.7,4.3
K003204,A02879,2024-12-25,medium,40.4,3.3
K003205,A02880,2024-02-07,low,14.2,4.2
K003206,A02880,2024-06-22,medium,2.5,4.0
K003207,A02883,2025-10-31,medium,3.0,4.5
K003208,A02883,2025-11-04,medium,14.2,4.8
K003209,A02884,2025-01-04,low,15.7,3.8
K003210,A02884,2026-02-28,low,4.6,3.9
K003211,A02885,2025-11-20,high,24.7,3.3
K003212,A02886,2025-09-23,low,9.9,3.5
K003213,A02887,2025-05-17,medium,43.3,3.2
K003214,A02888,2026-03-12,low,1.2,4.8
K003215,A02889,2025-07-13,high,13.1,3.2
K003216,A02890,2025-12-20,medium,11.3,3.6
K003217,A02890,2025-11-29,medium,4.1,4.5
K003218,A02892,2025-10-23,high,16.7,4.1
K003219,A02893,2025-04-15,medium,19.6,3.7
K003220,A02893,2025-06-16,medium,14.1,3.6
K003221,A02896,2025-01-26,high,48.1,3.8
K003222,A02897,2026-02-25,low,10.2,4.7
K003223,A02899,2025-02-24,low,12.6,3.8
K003224,A02900,2025-08-23,low,5.5,4.0
K003225,A02900,2026-02-15,low,8.1,3.6
K003226,A02900,2024-12-31,medium,8.9,3.5
K003227,A02903,2026-03-29,medium,1.4,3.9
K003228,A02903,2025-07-07,low,6.6,3.9
K003229,A02904,2025-12-11,medium,7.1,4.7
K003230,A02906,2025-05-11,low,13.9,3.4
K003231,A02908,2024-03-13,medium,15.3,3.2
K003232,A02908,2024-04-19,low,18.5,4.3
K003233,A02908,2024-03-04,high,11.2,3.9
K003234,A02910,2025-07-17,high,31.7,3.7
K003235,A02910,2025-10-09,medium,11.4,4.3
K003236,A02910,2026-02-26,low,12.3,3.7
K003237,A02911,2025-04-13,medium,0.8,5.0
K003238,A02915,2025-12-18,medium,11.8,4.8
K003239,A02916,2024-05-13,medium,4.9,3.4
K003240,A02919,2024-08-13,high,15.7,4.4
K003241,A02919,2024-09-28,low,8.2,4.3
K003242,A02921,2025-12-15,low,7.5,4.6
K003243,A02922,2025-11-06,low,2.7,3.5
K003244,A02923,2024-09-28,high,4.6,4.5
K003245,A02923,2024-09-03,high,18.6,2.4
K003246,A02923,2024-07-27,low,16.8,4.0
K003247,A02924,2025-11-06,high,25.2,3.4
K003248,A02924,2026-03-28,low,17.8,3.5
K003249,A02924,2025-03-25,low,12.7,4.3
K003250,A02925,2025-12-04,medium,13.0,2.8
K003251,A02926,2025-05-06,medium,3.5,4.5
K003252,A02927,2026-01-26,low,20.7,4.2
K003253,A02928,2025-02-16,low,8.3,4.5
K003254,A02928,2025-01-25,low,11.1,4.0
K003255,A02928,2025-05-14,low,7.9,4.4
K003256,A02931,2026-02-24,low,8.0,4.3
K003257,A02932,2024-08-25,low,1.6,4.1
K003258,A02933,2025-07-04,low,4.8,3.6
K003259,A02935,2025-11-15,low,27.9,4.2
K003260,A02936,2026-02-24,medium,13.2,4.0
K003261,A02937,2025-06-01,medium,17.8,3.9
K003262,A02937,2025-02-26,low,10.9,3.5
K003263,A02939,2024-09-21,high,18.9,4.1
K003264,A02940,2025-01-21,medium,13.8,4.7
K003265,A02942,2025-04-07,low,40.7,4.7
K003266,A02943,2025-07-02,low,17.8,2.9
K003267,A02943,2025-11-09,high,19.9,3.2
K003268,A02944,2024-04-25,medium,12.4,4.5
K003269,A02945,2024-10-25,low,4.8,3.6
K003270,A02945,2025-01-26,medium,11.4,4.1
K003271,A02947,2025-06-05,medium,11.1,4.1
K003272,A02947,2024-09-11,low,11.3,3.9
K003273,A02947,2025-01-10,low,12.3,3.4
K003274,A02948,2025-07-07,medium,4.2,4.2
K003275,A02948,2025-06-13,medium,16.0,4.5
K003276,A02949,2026-02-09,high,52.8,3.2
K003277,A02949,2026-01-02,low,17.5,2.9
K003278,A02951,2026-02-21,low,4.2,3.1
K003279,A02956,2025-01-03,high,35.1,2.8
K003280,A02957,2025-12-25,medium,12.7,4.1
K003281,A02957,2024-08-31,low,20.7,3.3
K003282,A02959,2024-12-30,medium,5.6,4.1
K003283,A02961,2025-06-28,low,13.2,3.3
K003284,A02961,2025-10-28,medium,20.7,2.8
K003285,A02961,2025-08-06,medium,7.2,4.2
K003286,A02962,2025-12-20,low,11.6,4.6
K003287,A02963,2024-05-01,medium,4.4,4.5
K003288,A02964,2025-01-27,high,6.7,4.0
K003289,A02966,2025-10-04,low,13.1,5.0
K003290,A02966,2025-02-12,medium,13.6,3.9
K003291,A02966,2025-12-19,medium,13.7,4.0
K003292,A02966,2025-12-28,low,16.4,4.0
K003293,A02967,2024-12-25,low,7.6,4.0
K003294,A02967,2024-12-02,low,5.0,4.3
K003295,A02967,2025-04-07,low,15.6,3.6
K003296,A02967,2025-05-05,high,20.5,3.6
K003297,A02968,2024-12-01,high,22.9,4.5
K003298,A02968,2024-12-23,low,4.2,4.2
K003299,A02968,2024-09-24,low,6.7,3.3
K003300,A02968,2024-07-20,medium,4.7,4.7
K003301,A02970,2026-02-20,medium,6.8,4.7
K003302,A02970,2025-06-20,medium,6.6,4.0
K003303,A02971,2025-07-27,low,19.4,3.1
K003304,A02972,2025-12-14,medium,14.4,4.1
K003305,A02972,2025-11-08,high,3.1,4.1
K003306,A02975,2025-06-21,medium,10.6,3.6
K003307,A02976,2025-08-15,low,16.0,3.5
K003308,A02977,2025-07-16,medium,10.3,3.8
K003309,A02979,2025-10-13,low,6.5,3.8
K003310,A02979,2025-04-10,high,41.3,4.3
K003311,A02979,2025-10-27,medium,13.6,4.4
K003312,A02980,2025-11-20,high,27.7,3.4
K003313,A02982,2025-10-03,low,10.3,4.9
K003314,A02982,2025-07-12,low,15.9,3.8
K003315,A02983,2024-09-25,low,9.4,4.2
K003316,A02984,2025-11-23,low,10.2,3.1
K003317,A02984,2026-03-18,low,3.4,4.3
K003318,A02985,2026-01-08,high,21.8,3.4
K003319,A02986,2025-02-15,medium,11.7,4.9
K003320,A02987,2024-07-11,medium,4.4,5.0
K003321,A02987,2025-03-02,medium,12.3,3.9
K003322,A02988,2025-08-19,low,12.2,3.9
K003323,A02988,2026-03-24,low,12.5,3.8
K003324,A02988,2025-10-17,low,2.9,3.6
K003325,A02989,2024-05-15,medium,12.7,3.9
K003326,A02990,2025-11-09,medium,27.0,3.7
K003327,A02992,2025-08-11,low,3.8,4.7
K003328,A02994,2025-11-07,low,19.9,3.3
K003329,A02995,2025-02-28,low,13.1,4.0
K003330,A02997,2026-02-15,medium,7.5,4.9
K003331,A02999,2026-03-14,medium,13.0,4.1
K003332,A03001,2025-11-02,high,8.9,3.5
K003333,A03004,2025-12-30,medium,9.7,4.0
K003334,A03007,2025-01-20,high,44.7,4.7
K003335,A03007,2025-03-13,medium,18.4,3.6
K003336,A03007,2025-02-26,high,7.3,4.2
K003337,A03009,2026-02-28,low,7.8,4.3
K003338,A03010,2025-08-10,low,7.2,4.3
K003339,A03010,2025-11-06,low,5.1,3.8
K003340,A03013,2025-09-14,medium,16.4,4.0
K003341,A03014,2025-11-19,high,5.1,5.0
K003342,A03015,2024-08-22,medium,7.6,4.4
K003343,A03016,2025-09-30,low,4.6,3.7
K003344,A03016,2025-10-04,low,2.5,4.1
K003345,A03018,2024-09-11,low,27.2,3.6
K003346,A03019,2024-11-24,high,3.9,4.0
K003347,A03020,2025-11-10,high,15.4,2.9
K003348,A03020,2024-06-17,medium,9.8,5.0
K003349,A03023,2025-04-29,high,6.6,4.5
K003350,A03023,2025-04-15,medium,8.5,3.7
K003351,A03023,2025-09-26,low,9.8,3.3
K003352,A03023,2025-01-03,low,3.4,5.0
K003353,A03025,2026-02-06,medium,11.8,4.5
K003354,A03025,2025-05-17,medium,5.0,4.5
K003355,A03026,2025-10-30,medium,13.3,4.5
K003356,A03027,2024-08-22,low,16.6,3.6
K003357,A03027,2025-02-27,low,15.6,5.0
K003358,A03028,2025-09-21,low,6.2,4.1
K003359,A03029,2025-04-26,low,6.0,4.1
K003360,A03030,2024-11-04,low,1.7,4.1
K003361,A03033,2024-08-11,low,10.9,3.5
K003362,A03034,2026-01-15,low,2.8,3.9
K003363,A03035,2026-03-03,low,2.8,4.1
K003364,A03035,2025-11-08,low,3.5,4.9
K003365,A03036,2025-09-10,low,2.4,3.9
K003366,A03037,2025-11-02,medium,26.2,3.5
K003367,A03038,2024-02-01,low,2.8,4.3
K003368,A03039,2025-06-21,low,15.3,4.3
K003369,A03040,2025-02-12,low,8.0,4.0
K003370,A03040,2025-04-15,low,5.4,3.9
K003371,A03041,2025-02-04,low,7.5,3.0
K003372,A03042,2025-11-13,medium,2.6,4.3
K003373,A03043,2025-08-08,low,6.0,3.4
K003374,A03043,2025-07-08,medium,3.4,3.9
K003375,A03043,2026-03-09,high,5.0,4.1
K003376,A03045,2026-01-06,low,13.1,3.3
K003377,A03045,2025-12-03,medium,2.3,4.3
K003378,A03048,2025-06-13,high,31.8,2.3
K003379,A03049,2025-10-12,low,2.1,3.7
K003380,A03049,2026-01-07,low,10.7,3.9
K003381,A03049,2025-10-20,medium,28.9,3.5
K003382,A03050,2024-10-18,medium,8.2,4.0
K003383,A03050,2025-02-14,low,7.2,3.7
K003384,A03050,2025-08-05,medium,18.2,3.9
K003385,A03053,2025-10-12,low,8.2,4.2
K003386,A03053,2025-04-12,low,3.9,3.7
K003387,A03054,2025-11-16,medium,7.1,5.0
K003388,A03057,2025-09-28,medium,3.3,4.2
K003389,A03058,2024-10-01,medium,21.9,4.4
K003390,A03059,2025-04-15,low,6.4,4.6
K003391,A03059,2025-05-19,medium,6.8,4.4
K003392,A03059,2024-07-11,medium,6.7,4.1
K003393,A03061,2025-05-11,low,7.6,4.1
K003394,A03062,2024-12-14,low,10.5,3.7
K003395,A03065,2025-05-09,low,9.6,4.2
K003396,A03067,2025-10-14,medium,9.0,4.4
K003397,A03068,2025-06-21,low,5.2,4.7
K003398,A03069,2025-04-13,low,11.2,5.0
K003399,A03073,2025-07-26,medium,13.5,3.3
K003400,A03074,2025-06-04,high,21.7,4.0
K003401,A03075,2025-07-25,medium,2.1,4.2
K003402,A03079,2026-02-04,medium,10.2,3.7
K003403,A03080,2025-10-14,low,3.9,3.8
K003404,A03080,2025-09-01,medium,2.3,3.0
K003405,A03081,2025-04-30,low,10.9,4.1
K003406,A03081,2025-07-26,low,23.4,3.9
K003407,A03083,2025-03-19,low,8.2,4.8
K003408,A03085,2026-03-08,medium,9.6,3.9
K003409,A03086,2026-02-25,low,9.2,4.7
K003410,A03089,2025-11-05,low,18.7,3.9
K003411,A03089,2025-04-22,medium,11.8,4.4
K003412,A03089,2026-01-24,medium,16.5,4.4
K003413,A03090,2026-03-06,high,7.6,3.7
K003414,A03090,2025-10-27,low,13.9,3.6
K003415,A03093,2026-03-19,high,15.3,3.2
K003416,A03093,2025-11-22,low,12.5,3.9
K003417,A03094,2025-10-05,high,25.6,3.6
K003418,A03096,2026-03-31,low,17.5,4.4
K003419,A03097,2024-02-26,low,12.1,3.6
K003420,A03097,2024-10-10,low,0.8,4.4
K003421,A03098,2025-06-09,low,5.2,3.7
K003422,A03098,2025-12-08,low,5.4,3.6
K003423,A03098,2025-11-12,low,10.4,3.5
K003424,A03098,2024-11-05,medium,1.6,4.3
K003425,A03099,2025-12-06,low,6.3,4.5
K003426,A03100,2024-11-18,high,15.8,3.1
K003427,A03101,2025-11-10,low,10.2,3.2
K003428,A03104,2026-03-30,high,45.9,2.7
K003429,A03104,2025-07-13,low,11.5,3.3
K003430,A03105,2025-10-23,medium,3.1,3.7
K003431,A03105,2025-03-06,low,6.7,4.0
K003432,A03106,2026-03-18,low,7.0,3.7
K003433,A03106,2026-02-13,low,13.1,3.6
K003434,A03107,2025-07-22,high,16.7,2.8
K003435,A03107,2024-08-15,medium,8.1,3.8
K003436,A03108,2026-03-22,medium,14.8,3.2
K003437,A03109,2024-08-25,medium,14.7,3.6
K003438,A03110,2025-10-06,low,8.1,3.9
K003439,A03110,2026-03-15,high,4.2,4.0
K003440,A03111,2025-11-16,low,7.7,3.5
K003441,A03113,2025-09-20,medium,18.5,5.0
K003442,A03114,2025-03-17,medium,15.1,3.4
K003443,A03115,2025-02-19,medium,2.9,3.8
K003444,A03115,2025-07-15,low,8.3,3.8
K003445,A03116,2025-09-16,low,23.5,4.2
K003446,A03117,2025-12-18,low,4.7,3.9
K003447,A03119,2024-10-31,low,15.0,4.0
K003448,A03121,2025-10-02,medium,13.8,3.4
K003449,A03121,2026-01-21,medium,2.8,4.2
K003450,A03123,2024-09-19,low,16.9,3.1
K003451,A03124,2025-04-08,high,45.2,2.6
K003452,A03125,2026-03-12,low,0.7,3.3
K003453,A03126,2025-10-05,high,38.8,3.6
K003454,A03126,2026-03-03,high,28.5,3.2
K003455,A03127,2025-10-28,low,20.4,3.7
K003456,A03128,2024-06-05,low,12.6,4.1
K003457,A03131,2025-12-29,low,0.9,4.7
K003458,A03131,2024-12-16,low,26.5,3.1
K003459,A03133,2024-05-03,low,20.5,3.9
K003460,A03135,2025-04-09,medium,3.6,3.4
K003461,A03136,2025-08-23,medium,1.7,4.0
K003462,A03136,2025-08-25,low,3.8,3.9
K003463,A03137,2025-06-25,medium,15.0,3.2
K003464,A03141,2024-07-26,high,32.1,3.6
K003465,A03141,2024-07-27,medium,16.0,4.3
K003466,A03142,2024-07-13,low,2.2,4.0
K003467,A03142,2026-01-14,high,37.3,2.7
K003468,A03143,2026-02-11,high,12.7,3.5
K003469,A03144,2024-03-19,low,9.4,3.8
K003470,A03146,2026-03-25,medium,23.8,4.1
K003471,A03147,2025-10-20,high,5.2,4.6
K003472,A03148,2025-10-29,low,3.3,5.0
K003473,A03149,2025-10-25,medium,3.9,4.6
K003474,A03150,2024-05-13,medium,7.7,4.1
K003475,A03150,2024-08-19,low,3.1,3.4
K003476,A03151,2024-04-28,low,12.8,3.7
K003477,A03152,2025-05-22,low,24.4,3.9
K003478,A03153,2024-09-09,low,27.7,4.4
K003479,A03153,2024-08-27,low,19.3,3.8
K003480,A03154,2024-08-07,low,16.8,3.9
K003481,A03155,2024-05-06,low,7.8,3.5
K003482,A03157,2025-01-23,medium,8.2,3.7
K003483,A03161,2025-11-21,low,9.0,4.0
K003484,A03162,2026-01-17,low,15.7,4.0
K003485,A03162,2025-10-03,medium,7.6,3.3
K003486,A03164,2025-12-25,medium,8.4,4.3
K003487,A03165,2025-02-17,medium,1.5,3.6
K003488,A03167,2025-01-28,medium,12.6,4.4
K003489,A03169,2025-08-13,medium,11.5,4.0
K003490,A03170,2025-05-28,low,11.7,3.4
K003491,A03171,2026-03-21,medium,2.2,3.8
K003492,A03171,2025-10-13,medium,15.2,3.3
K003493,A03173,2025-07-03,medium,4.8,3.4
K003494,A03174,2026-01-14,medium,3.6,4.7
K003495,A03174,2026-02-28,medium,19.6,4.1
K003496,A03178,2025-03-04,low,7.7,4.6
K003497,A03178,2025-04-14,high,5.2,4.4
K003498,A03178,2025-03-27,high,36.3,3.5
K003499,A03179,2024-11-04,low,27.6,3.5
K003500,A03179,2024-10-29,low,28.8,3.6
K003501,A03180,2026-01-25,high,12.1,3.9
K003502,A03185,2025-09-23,medium,1.6,4.4
K003503,A03186,2024-03-15,low,10.0,4.2
K003504,A03187,2025-04-16,low,26.3,3.7
K003505,A03188,2026-01-23,low,56.7,2.5
K003506,A03190,2025-04-07,low,8.7,4.3
K003507,A03190,2025-03-21,medium,9.2,5.0
K003508,A03190,2025-02-08,medium,3.6,5.0
K003509,A03191,2025-12-28,low,9.8,3.9
K003510,A03192,2025-06-16,high,57.3,2.9
K003511,A03193,2026-02-16,low,22.2,3.7
K003512,A03193,2025-11-11,high,19.6,4.3
K003513,A03194,2025-08-15,medium,5.1,4.3
K003514,A03198,2024-11-24,high,17.5,4.1
K003515,A03201,2026-02-09,low,10.0,3.2
K003516,A03201,2025-12-01,medium,8.6,4.4
K003517,A03201,2025-05-20,medium,24.1,3.4
K003518,A03206,2025-08-17,medium,15.5,3.2
K003519,A03206,2025-06-04,medium,1.7,4.8
K003520,A03210,2024-03-17,medium,32.9,3.5
K003521,A03211,2025-05-20,medium,6.1,4.3
K003522,A03213,2025-12-08,medium,10.8,4.4
K003523,A03213,2025-08-22,high,1.5,3.2
K003524,A03215,2024-06-21,medium,12.5,4.2
K003525,A03215,2024-10-22,medium,5.2,4.3
K003526,A03216,2025-04-27,low,5.5,4.2
K003527,A03217,2025-07-12,low,28.1,3.4
K003528,A03217,2024-11-27,high,35.7,3.6
K003529,A03218,2024-06-26,high,7.8,3.9
K003530,A03222,2025-10-19,low,42.7,2.8
K003531,A03224,2025-11-17,low,2.0,4.4
K003532,A03225,2024-07-31,medium,2.8,4.0
K003533,A03227,2025-09-22,low,9.5,3.7
K003534,A03227,2025-04-22,low,7.4,4.7
K003535,A03228,2025-06-12,medium,6.4,3.5
K003536,A03229,2025-05-14,low,3.2,4.5
K003537,A03229,2025-10-02,low,16.2,3.9
K003538,A03230,2025-05-25,low,6.2,3.9
K003539,A03231,2026-03-08,medium,11.0,4.6
K003540,A03231,2025-12-08,medium,11.2,3.8
K003541,A03231,2025-07-21,high,18.6,3.7
K003542,A03231,2025-05-23,low,1.3,3.8
K003543,A03232,2024-07-01,low,2.5,3.9
K003544,A03233,2025-05-14,low,16.7,4.1
K003545,A03233,2025-06-03,low,4.2,5.0
K003546,A03233,2026-01-27,medium,5.2,2.7
K003547,A03234,2024-07-21,low,9.3,3.5
K003548,A03235,2025-09-17,low,22.4,2.8
K003549,A03236,2025-09-15,high,44.2,2.7
K003550,A03236,2024-10-13,low,6.8,4.4
K003551,A03237,2026-01-08,high,10.8,3.5
K003552,A03241,2026-02-05,low,7.6,4.1
K003553,A03242,2025-03-24,high,26.0,4.9
K003554,A03243,2025-11-02,high,6.3,3.7
K003555,A03246,2025-04-28,high,10.9,2.3
K003556,A03247,2025-03-25,low,14.4,4.4
K003557,A03249,2025-09-25,medium,9.3,3.9
K003558,A03251,2026-01-22,high,51.7,2.0
K003559,A03254,2024-11-09,medium,18.2,3.7
K003560,A03254,2025-08-23,low,13.6,2.8
K003561,A03256,2025-12-23,medium,13.5,4.5
K003562,A03257,2024-11-16,low,7.7,4.5
K003563,A03259,2025-05-18,low,37.9,4.0
K003564,A03259,2025-02-23,medium,6.9,3.5
K003565,A03260,2026-02-08,low,36.3,3.1
K003566,A03260,2025-12-15,low,9.6,4.1
K003567,A03262,2025-05-02,low,6.6,3.9
K003568,A03263,2025-08-20,medium,8.5,3.0
K003569,A03263,2025-07-19,low,8.5,3.4
K003570,A03265,2025-03-31,medium,14.9,3.7
K003571,A03268,2025-10-16,low,27.9,4.3
K003572,A03272,2025-02-19,low,2.0,3.6
K003573,A03273,2026-03-14,high,2.6,4.2
K003574,A03273,2025-11-09,low,14.9,4.5
K003575,A03275,2025-09-01,low,8.7,4.1
K003576,A03275,2025-06-06,low,5.4,4.0
K003577,A03276,2025-06-10,high,15.9,4.0
K003578,A03277,2026-01-30,low,1.8,4.7
K003579,A03277,2026-02-08,low,7.3,3.3
K003580,A03278,2024-12-26,high,15.8,4.4
K003581,A03283,2024-06-29,medium,13.6,4.6
K003582,A03286,2025-10-18,low,0.5,4.0
K003583,A03286,2025-11-19,high,21.0,3.4
K003584,A03288,2025-02-27,low,27.7,3.4
K003585,A03289,2025-10-15,medium,19.7,3.6
K003586,A03289,2026-01-01,medium,12.0,4.0
K003587,A03290,2026-01-10,low,1.6,3.4
K003588,A03290,2026-01-28,low,20.0,3.7
K003589,A03291,2025-03-18,low,16.0,4.1
K003590,A03291,2025-04-03,medium,21.4,3.0
K003591,A03291,2025-04-07,high,34.4,2.6
K003592,A03292,2025-08-31,medium,26.1,3.4
K003593,A03292,2026-01-04,low,3.9,4.1
K003594,A03293,2025-04-20,low,8.3,3.1
K003595,A03293,2025-09-25,low,5.4,3.3
K003596,A03293,2025-11-07,medium,0.8,5.0
K003597,A03294,2025-09-12,high,14.5,3.6
K003598,A03295,2024-11-22,low,8.9,3.8
K003599,A03296,2026-03-13,medium,5.5,5.0
K003600,A03297,2025-05-26,low,14.6,3.7
K003601,A03297,2025-10-08,medium,10.6,3.5
K003602,A03297,2025-07-20,medium,9.8,4.2
K003603,A03299,2026-03-17,low,26.1,2.5
K003604,A03299,2025-11-17,medium,4.0,4.0
K003605,A03300,2024-07-05,medium,6.0,4.0
K003606,A03300,2024-06-20,medium,5.4,4.7
K003607,A03300,2025-08-25,high,40.4,2.8
K003608,A03300,2024-02-12,low,16.6,3.2
K003609,A03301,2026-01-18,medium,16.5,3.5
K003610,A03302,2024-10-06,low,15.9,3.5
K003611,A03302,2025-04-02,medium,13.8,4.4
K003612,A03302,2024-08-15,medium,15.9,2.4
K003613,A03302,2024-10-30,medium,11.4,3.9
K003614,A03304,2025-10-23,high,12.8,3.8
K003615,A03304,2025-12-30,high,10.0,4.0
K003616,A03305,2025-07-17,high,4.1,4.2
K003617,A03309,2025-07-30,medium,4.4,3.8
K003618,A03309,2025-11-02,low,5.9,4.3
K003619,A03313,2025-01-01,medium,6.7,4.2
K003620,A03313,2025-08-13,high,34.4,4.7
K003621,A03313,2025-01-20,low,14.9,4.2
K003622,A03317,2025-07-15,medium,2.3,4.3
K003623,A03318,2024-04-20,medium,13.9,3.9
K003624,A03323,2025-05-24,low,22.9,3.9
K003625,A03323,2025-05-13,high,17.8,4.8
K003626,A03324,2025-07-12,low,19.7,3.7
K003627,A03325,2026-03-26,low,11.8,3.4
K003628,A03328,2025-08-23,low,9.5,4.1
K003629,A03328,2025-07-16,low,8.5,4.6
K003630,A03331,2025-12-20,high,16.2,3.9
K003631,A03332,2025-03-30,low,11.2,4.5
K003632,A03332,2024-10-15,low,2.0,4.2
K003633,A03333,2024-05-04,low,6.6,4.2
K003634,A03333,2024-05-26,medium,8.5,3.9
K003635,A03333,2024-05-31,medium,8.0,3.5
K003636,A03334,2025-11-21,medium,0.5,4.6
K003637,A03335,2025-08-19,high,38.1,2.3
K003638,A03336,2026-03-18,low,11.3,3.7
K003639,A03336,2025-11-03,medium,11.7,4.2
K003640,A03337,2025-05-10,low,11.4,4.4
K003641,A03338,2026-01-16,medium,11.8,3.3
K003642,A03338,2026-01-09,low,14.1,3.8
K003643,A03341,2024-11-03,medium,3.2,4.7
K003644,A03341,2024-09-16,medium,15.9,3.2
K003645,A03341,2025-06-01,medium,10.7,4.1
K003646,A03344,2025-03-19,medium,7.4,3.4
K003647,A03345,2025-04-28,low,10.4,4.2
K003648,A03346,2026-02-19,low,10.6,4.2
K003649,A03348,2025-02-21,low,18.7,4.2
K003650,A03349,2025-08-06,low,8.9,4.1
K003651,A03349,2025-06-07,high,18.1,3.1
K003652,A03349,2025-07-28,low,18.1,3.8
K003653,A03353,2024-07-06,low,19.6,4.2
K003654,A03353,2025-05-14,medium,17.9,3.2
K003655,A03354,2025-12-15,medium,14.0,5.0
K003656,A03355,2025-12-03,medium,12.0,3.7
K003657,A03355,2025-03-17,low,17.0,3.3
K003658,A03356,2026-02-08,high,10.9,3.8
K003659,A03356,2025-10-15,low,8.7,4.3
K003660,A03358,2024-12-15,low,5.2,4.5
K003661,A03358,2025-01-14,medium,17.4,3.5
K003662,A03358,2026-03-01,low,37.1,2.8
K003663,A03360,2026-02-13,low,20.6,3.9
K003664,A03360,2025-08-16,medium,9.8,4.9
K003665,A03361,2025-01-29,medium,27.6,3.7
K003666,A03362,2024-08-29,high,8.4,3.6
K003667,A03364,2026-01-04,medium,15.0,3.8
K003668,A03365,2025-04-23,medium,7.9,4.2
K003669,A03367,2026-02-02,low,11.9,3.3
K003670,A03368,2025-03-15,low,12.4,4.3
K003671,A03369,2025-04-28,low,5.5,4.2
K003672,A03369,2024-04-28,low,5.0,4.3
K003673,A03370,2024-12-28,low,2.2,4.1
K003674,A03370,2025-02-06,low,5.5,3.6
K003675,A03370,2025-01-16,medium,3.0,4.1
K003676,A03370,2024-10-20,low,6.1,4.3
K003677,A03370,2024-12-09,medium,13.0,3.1
K003678,A03370,2024-10-28,low,19.3,3.2
K003679,A03371,2025-12-30,low,0.7,3.4
K003680,A03371,2025-07-29,low,17.7,3.7
K003681,A03371,2025-09-17,low,11.5,3.6
K003682,A03375,2026-02-19,low,10.6,4.9
K003683,A03375,2025-12-16,medium,1.4,4.1
K003684,A03376,2025-07-13,medium,5.0,4.0
K003685,A03377,2024-02-06,low,7.3,4.4
K003686,A03382,2025-08-12,medium,8.7,3.9
K003687,A03382,2025-07-27,medium,10.0,4.6
K003688,A03382,2025-07-17,low,26.9,3.4
K003689,A03383,2026-02-01,high,39.6,2.6
K003690,A03384,2025-08-17,low,18.2,3.3
K003691,A03384,2025-03-12,low,14.8,4.4
K003692,A03384,2026-02-21,low,4.9,4.4
K003693,A03384,2026-02-11,low,6.9,3.6
K003694,A03385,2025-06-08,low,19.3,4.3
K003695,A03385,2025-06-04,medium,17.0,4.4
K003696,A03387,2025-04-05,low,10.6,3.2
K003697,A03387,2026-02-28,low,2.1,4.1
K003698,A03388,2025-10-05,low,3.2,5.0
K003699,A03388,2025-09-19,low,11.4,4.2
K003700,A03388,2025-11-10,low,23.6,4.2
K003701,A03389,2024-11-15,medium,16.1,4.5
K003702,A03392,2025-09-17,low,17.0,3.2
K003703,A03394,2025-01-20,low,6.0,3.3
K003704,A03394,2025-01-24,high,48.7,2.9
K003705,A03395,2025-07-30,low,6.0,3.5
K003706,A03396,2026-02-22,medium,17.0,3.9
K003707,A03400,2026-01-19,low,14.2,4.6
K003708,A03401,2024-02-25,low,5.6,3.7
K003709,A03402,2025-08-29,low,11.2,4.2
K003710,A03402,2025-10-14,medium,4.7,3.1
K003711,A03403,2026-02-15,low,5.4,4.3
K003712,A03404,2025-09-20,low,17.0,4.1
K003713,A03404,2025-12-17,low,6.6,4.0
K003714,A03407,2025-02-12,low,8.9,3.4
K003715,A03407,2025-05-16,low,28.6,3.6
K003716,A03407,2026-03-02,low,10.1,4.2
K003717,A03412,2025-12-10,low,0.7,3.3
K003718,A03412,2024-05-25,medium,25.8,3.3
K003719,A03415,2025-12-16,high,18.0,3.3
K003720,A03417,2025-01-24,medium,1.8,3.2
K003721,A03417,2025-01-31,medium,3.5,3.5
K003722,A03417,2025-02-09,low,19.2,3.9
K003723,A03418,2025-11-10,medium,11.4,4.1
K003724,A03418,2025-12-14,low,30.6,2.9
K003725,A03421,2025-10-16,high,41.1,2.6
K003726,A03422,2024-08-17,low,7.7,3.4
K003727,A03423,2026-01-10,low,11.5,4.0
K003728,A03425,2025-12-31,medium,17.9,4.0
K003729,A03425,2025-06-26,low,9.6,4.4
K003730,A03427,2024-03-08,high,4.4,4.0
K003731,A03427,2024-09-08,high,19.1,3.9
K003732,A03428,2025-10-07,medium,6.2,4.2
K003733,A03428,2025-12-09,low,8.9,4.2
K003734,A03428,2025-12-22,medium,3.9,5.0
K003735,A03429,2025-11-01,low,8.5,3.8
K003736,A03429,2025-09-28,medium,5.6,3.4
